id,text
1,취업을 준비하면서 지역 청년 입장에서 AI·데이터 직무 채용정보가 부족하다.
2,개인적으로 내 조건에 맞는 주거지원 정책을 자동으로 추천받고 싶다고 생각합니다.
3,광주·전남에서 지내다 보니 직장인 입장에서 늦은 시간까지 이용할 수 있는 문화공간이 부족하다.
4,취업을 준비하면서 경력 초기 청년 입장에서 지역기업의 연봉이나 복지 정보를 비교하기 어렵다 그리고 청년 할인 혜택을 한눈에 알기 어렵다라고 느낍니다.
5,개인적으로 현직자 멘토링을 통해 지역기업 정보를 얻을 수 있어 유익했다는 점이 가장 불편합니다.
6,개인적으로 내 역량에 맞는 직무를 추천받고 싶다면 좋겠습니다.
7,개인적으로 신혼 청년 입장에서 전세나 월세 시세를 비교하기 어렵다고 생각합니다.
8,실제로 이용해보니 현직자 강의는 직무 이해에 도움이 됐다고 생각합니다.
9,주변에서도 많이 말하는데 사업 단계에 맞는 지원사업을 자동 추천받고 싶다 또 직장 근처에 적당한 주거지가 부족하다.
10,지역에서 생활하면서 최근 일부 노선의 배차가 개선돼 이동이 편해졌다.
